Channel Id,Channel Url,Channel Title
UCAL3JXZSzSm8AlZyD3nQdBA,http://www.youtube.com/channel/UCAL3JXZSzSm8AlZyD3nQdBA,Primitive Technology
UCAV5TC68-2NaJ7Y3_LDnH0A,http://www.youtube.com/channel/UCAV5TC68-2NaJ7Y3_LDnH0A,Nozzivix
UCAVns3lt0t7w8lmUZQFlvrA,http://www.youtube.com/channel/UCAVns3lt0t7w8lmUZQFlvrA,Paint
UCAaegDUlb7doIKo0Rc1F08g,http://www.youtube.com/channel/UCAaegDUlb7doIKo0Rc1F08g,GTLive
UCAi_uNeDWRXj8C8yw358gWw,http://www.youtube.com/channel/UCAi_uNeDWRXj8C8yw358gWw,CharlesBerthoud
UCAoMPWcQKA_9Af5YhWdrZgw,http://www.youtube.com/channel/UCAoMPWcQKA_9Af5YhWdrZgw,MyLifeAsEva
UCApByCEDqQM8PgDypC_i6BQ,http://www.youtube.com/channel/UCApByCEDqQM8PgDypC_i6BQ,Stella Chuu
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCAzyupPG4vdo8jd9nJ13LAw,http://www.youtube.com/channel/UCAzyupPG4vdo8jd9nJ13LAw,Barry Lewis
UCB-UY_HpZgYMfkYi2Xxs-lA,http://www.youtube.com/channel/UCB-UY_HpZgYMfkYi2Xxs-lA,Zueljin Gaming
UCBE-FO9JUOghSysV9gjTeHw,http://www.youtube.com/channel/UCBE-FO9JUOghSysV9gjTeHw,NixieDoesLinux
UCBGVa07P4ofJ8HaCzAtAB4A,http://www.youtube.com/channel/UCBGVa07P4ofJ8HaCzAtAB4A,McNallyOfficial
UCBGbTTcgn8AVEsEWdT3tI3Q,http://www.youtube.com/channel/UCBGbTTcgn8AVEsEWdT3tI3Q,IGP
UCBGp_XPj3Oudk207UNw_tAg,http://www.youtube.com/channel/UCBGp_XPj3Oudk207UNw_tAg,Doni Bobes
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCBNA43Ppw3sCUbq-x2SvP8g,http://www.youtube.com/channel/UCBNA43Ppw3sCUbq-x2SvP8g,Georgia Dow
UCBNG0osIBAprVcZZ3ic84vw,http://www.youtube.com/channel/UCBNG0osIBAprVcZZ3ic84vw,Jim Browning
UCBUVGPsJzc1U8SECMgBaMFw,http://www.youtube.com/channel/UCBUVGPsJzc1U8SECMgBaMFw,BuzzFeed Multiplayer
UCBZiUUYeLfS5rIj4TQvgSvA,http://www.youtube.com/channel/UCBZiUUYeLfS5rIj4TQvgSvA,Channel Super Fun
UCBh8XcZST_JTHt-IZDxT_pQ,http://www.youtube.com/channel/UCBh8XcZST_JTHt-IZDxT_pQ,FLuffeeTalks
UCBs2Y3i14e1NWQxOGliatmg,http://www.youtube.com/channel/UCBs2Y3i14e1NWQxOGliatmg,Mother's Basement
UCC5vubsnFBpy-lFB8S8rZEg,http://www.youtube.com/channel/UCC5vubsnFBpy-lFB8S8rZEg,Anni Vuohensilta
UCC8zWIx8aBQme-x1nX9iZ0A,http://www.youtube.com/channel/UCC8zWIx8aBQme-x1nX9iZ0A,Dimension 20
UCCLr06An2eSwLpWqsl1xqsA,http://www.youtube.com/channel/UCCLr06An2eSwLpWqsl1xqsA,100K Subscribers Without Any Videos Challenge
UCCXW0owzxcfwzxWPyVNpiFA,http://www.youtube.com/channel/UCCXW0owzxcfwzxWPyVNpiFA,BSMODS
UCCY_8y1FjtOegxKB4s2bWqw,http://www.youtube.com/channel/UCCY_8y1FjtOegxKB4s2bWqw,Bella Poarch
UCCZ_OOYAL4kT7mwZWzHFsUw,http://www.youtube.com/channel/UCCZ_OOYAL4kT7mwZWzHFsUw,Slothville TV
UCCa0BnCIDBGzmw4daUGZ0yg,http://www.youtube.com/channel/UCCa0BnCIDBGzmw4daUGZ0yg,TigerTomato
UCCbfB3cQtkEAiKfdRQnfQvw,http://www.youtube.com/channel/UCCbfB3cQtkEAiKfdRQnfQvw,Jesse Cox
UCCj956IF62FbT7Gouszaj9w,http://www.youtube.com/channel/UCCj956IF62FbT7Gouszaj9w,BBC
UCCn4bkLR8A36Xys2Zyy74Vw,http://www.youtube.com/channel/UCCn4bkLR8A36Xys2Zyy74Vw,Animal Takedowns
UCCvCHN9DaKn8ON5VxDZmyhQ,http://www.youtube.com/channel/UCCvCHN9DaKn8ON5VxDZmyhQ,Stuart Edge
UCCyCkbJ5ooWXQ7izYNmmL1g,http://www.youtube.com/channel/UCCyCkbJ5ooWXQ7izYNmmL1g,disrespecting
UCD4INvKvy83OXwAkRjaQKtw,http://www.youtube.com/channel/UCD4INvKvy83OXwAkRjaQKtw,Sips
UCD80T1s2Za4K682CQDGwEKQ,http://www.youtube.com/channel/UCD80T1s2Za4K682CQDGwEKQ,Wristwatch Revival
UCD80bzqJh1N7lOqn7n0vKTg,http://www.youtube.com/channel/UCD80bzqJh1N7lOqn7n0vKTg,Nilaus
UCD906_Ulo-exIIS4Un5o61A,http://www.youtube.com/channel/UCD906_Ulo-exIIS4Un5o61A,Sushi Killer
UCDCmxTR1x6ylSYlh_nrJHZQ,http://www.youtube.com/channel/UCDCmxTR1x6ylSYlh_nrJHZQ,Victoria Rose
UCDDrB-yGonf4uL2NDf6njTA,http://www.youtube.com/channel/UCDDrB-yGonf4uL2NDf6njTA,Ms Shi and Mr He
UCDK9qD5DAQML-pzrtA7A4oA,http://www.youtube.com/channel/UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV
UCDRbNGFusqlXX4a5vwi9ouQ,http://www.youtube.com/channel/UCDRbNGFusqlXX4a5vwi9ouQ,Vat19
